head words,entry,sources,all lexemes,linked words,linked entries
"agaleiȥi","<heading><strong>agaleiȥi</strong></heading> <gender>жр</gender>, <lex>agaleiȥi</lex> <gender>срр</gender>, <lang>свн.</lang> <lex>ageleiȥe</lex> <gender>жр</gender> <em>прилежание, рвение, усилие, быстрота</em>; <lang>го.</lang> <lex>aglaitei</lex> <gender>жр</gender> <em>разврат</em>.",,"aglaitei, ageleiȥe, agaleiȥi",,
"âgangan","<heading><strong>âgangan</strong></heading> <lang>дс.</lang> <em>проходить, протекать</em>; <lang>двн.</lang> <lex>argangan</lex>.",,"argangan",,
"aha","<heading><strong>aha</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>ahe</lex> <em>река, поток, течение; вода</em>; <lang>дс.</lang> <lex>aha</lex>, <lang>да.</lang> <lex>ēa</lex>, <lang>ди.</lang> <lex>ǫ´</lex> С АКУТОМ. <lang>го.</lang> <lex>aƕa</lex>; ср. <lang>лат.</lang> <lex>aqua</lex> <em>вода</em>.",,"ēa, aƕa, aha, aqua, ǫ´, ahe",,
"âhebbian","<heading><strong>âhebbian</strong></heading> <lang>дс.</lang> (снгл. 6) <em>возвышать</em>; <lang>двн.</lang> <lex>arheffen</lex>.",,"arheffen",,
"aht","<heading><strong>aht</strong></heading> <lang>свн.</lang> (межд. боли, удивления).",,,,
"ahsala","<heading><strong>ahsala</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>ahsel</lex> <em>плечо</em>; <lang>нн.</lang> <lex>Achsel</lex>; <lang>дс.</lang> <lex>ahsla</lex>, <lang>да.</lang> <lex>eaxl</lex>, <lang>ди.</lang> <lex>ǫ´xl</lex> С АКУТОМ; ср. <lang>лат.</lang> <lex>axilla</lex> <em>подмышка</em>.",,"ahsel, eaxl, ahsla, ǫ´xl, Achsel, axilla",,
"ahta","<heading><strong>ahta</strong></heading> <gender>жр</gender> (ô) <em>обсуждение, соображение, уважение</em>, <lang>свн.</lang> <lex variants="ahte, aht">aht(e)</lex> также <em>способ, манера</em>; <lang>нн.</lang> <lex>Acht</lex> <em>внимание, осторожность</em>.",,"ahte, aht, Acht",,
"ahto","<heading><strong>ahto</strong></heading>, <lang>свн.</lang> <lex>aht</lex> (числ.) <em>восемь</em>; <lang>нн.</lang> <lex>acht</lex>; <lang>да.</lang> <lex>eahta</lex>, <lang>го.</lang> <lex>ahtau</lex>; ср. <lang>лат.</lang> <lex>octō</lex>.",,"eahta, ahtau, aht, octō, acht",,
"ahtôn","<heading><strong>ahtôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>ahten</lex> <em>замечать, принимать во внимание, обдумывать</em>; <lang>рнвн.</lang> <em>почитать, уважать</em>; <lang>нн.</lang> <lex>achten</lex>; <lang>да.</lang> <lex>eahtian</lex> <em>взвешивать, соображать</em>.",,"achten, ahten, eahtian",,
"ackar, achar","<heading><strong>ackar</strong></heading>, <heading><strong>achar</strong></heading>, <lang>свн.</lang> <lex>acker</lex> <gender>мр</gender> (a) <em>поле, пашня</em>; <lang>нн.</lang> <lex>Acker</lex>; <lang>дс.</lang> <lex>akkar</lex>, <lang>да.</lang> <lex>æcer</lex>, <lang>а.</lang> <lex>acre</lex>, <lang>ди.</lang> <lex>akr</lex>, <lang>го.</lang> <lex>akrs</lex>; ср. <lang>лат.</lang> <lex>ager</lex> <em>поле, пашня</em>, <lang>греч.</lang> <lex>agrós</lex>.",,"akkar, akr, ager, æcer, Acker, acre, acker, agrós, akrs",,
"âkust","<heading><strong>âkust</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>жр</gender> (i) <em>низость, подлость, порок, ошибка</em>.",,,,
"al, all","<heading variants="al, all"><strong>al (ll)</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>целый, весь, каждый, всякий</em>; <lang>нн.</lang> <lex>all</lex>; <lang>дс.</lang> <lex>al</lex>, <lang>да.</lang> <lex>eall</lex>, <lang>а.</lang> <lex>all</lex>, <lang>ди.</lang> <lex>allr</lex>, <lang>го.</lang> <lex>alls</lex>.",,"eall, all, al, alls, allr",,
"alamusan","<heading><strong>alamusan</strong></heading> <gender>срр</gender> <em>подаяние, милостыня</em>; <lang>свн.</lang> <lex>almosen</lex>, <lang>са.</lang> <lex>allmesse</lex>; <lang>нн.</lang> <lex>Almosen</lex> (<lang>греч.-лат.</lang> <lex>eleemosyne</lex>).",,"almosen, eleemosyne, allmesse, Almosen",,
"âlâtan","<heading><strong>âlâtan</strong></heading> <lang>дс.</lang> (снгл. 7) <em>освобождать</em>; <lang>двн.</lang> <lex>arlâȥȥan</lex>, <lang>да.</lang> <lex>ālǣtan</lex>.",,"ālǣtan, arlâȥȥan",,
"alawâr, alawâri","<heading><strong>alawâr</strong></heading>, <heading><strong>alawâri</strong></heading> (прил.) <em>совершенно истинный</em>; <lex>in</lex> <lex variants="alawâri, alawâr">alawâr(i)</lex> <em>право, воистину</em>.",,"alawâri, alawâr, in",,
"aldâ","<heading><strong>aldâ</strong></heading> <lang>свн.</lang> (нар.) усил. к <lex>da</lex>.",,"da",,
"alde","<heading><strong>alde</strong></heading><source>— Нотк.—</source> (сз.) <em>или</em>, <lang>свн.</lang> <lex>ald</lex> <em>или, однако</em>.","Нотк.","ald",,
"alde","<heading><strong>alde</strong></heading> <lang>рнвн.</lang> (межд.) <em>прощай</em>; = <lang>фр.</lang> <lex>adieu</lex>.",,"adieu",,
"âlêðian","<heading><strong>âlêðian</strong></heading> <lang>дс.</lang> (слгл. 1) <em>внушать отвращение</em>; <lex>âlêðit</lex> <source>— Ген.—</source> <em>проклятый</em>.","Ген.","âlêðit",,
"alein, aleine","<heading><strong>alein</strong></heading>, <heading><strong>aleine</strong></heading> <lang>свн.</lang> (прил.) <em>одинокий</em>; <lang>нн.</lang> <lex>allein</lex>; <lang>да.</lang> <lex>eallāna</lex>, <lang>а.</lang> <lex>alone</lex>.",,"alone, eallāna, allein",,
"allenthalben","<heading><strong>allenthalben</strong></heading> <lang>свн.</lang> (нар.) <em>со всех сторон, всюду, везде</em>: дат. мн. <lex>allen</lex> <lex>halben</lex>; <lang>нн.</lang> <lex>allenthalben</lex>.",,"halben, allenthalben, allen",,
"allermeist","<heading><strong>allermeist</strong></heading> <source>— Анно—</source> (нар.) <em>больше всего, чаше всего, по большей части</em>; <lang>нн.</lang> <lex>allermeist</lex>.","Анно","allermeist",,
"alleswio","<heading><strong>alleswio</strong></heading> (нар.) <em>иным образом, иначе</em>.",,,,
"almahtig","<heading><strong>almahtig</strong></heading> (прил.) <em>всемогущий</em>; <lang>нн.</lang> <lex>allmächtig</lex>; <lang>дс.</lang> <lex>alomahtig</lex>, <lex>almahtig</lex>.",,"almahtig, allmächtig, alomahtig",,
"almeistec","<heading><strong>almeistec</strong></heading> <lang>свн.</lang> (прил.) <em>большая часть</em>.",,,,
"âlôsnin","<heading><strong>âlôsnin</strong></heading> <gender>жр</gender> <em>выкуп, подкуп</em>; ср. <lang>нн.</lang> <lex>Lösegeld</lex> <em>выкуп за пленника</em> и <lex>lösen</lex> <em>выкупать, покупать</em>.",,"lösen, Lösegeld",,
"alrôt","<heading><strong>alrôt</strong></heading> <lang>свн.</lang> (прил.) <em>сплошь красный</em>.",,,,
"alsam","<heading><strong>alsam</strong></heading> <lang>свн.</lang> (нар. сз.) <em>также</em>.",,,,
"alsô","<heading><strong>alsô</strong></heading> (нар.) <em>точно также, таким же образом</em> (<lang>да.</lang> <lex>ealswä</lex>), <lang>свн.</lang> <lex>als</lex>, <lex>alse</lex>, <lex>also</lex> (сз.) <em>так же, как, так, как будто, ибо</em>; <lang>нн.</lang> <lex>als</lex>, <lex>also</lex>.",,"alse, als, ealswä, also",,
"alsulh","<heading><strong>alsulh</strong></heading> <lang>свн.</lang> усил. к <lex>solih</lex>.",,"solih",,
"alsus, alsust","<heading><strong>alsus</strong></heading>, <heading><strong>alsust</strong></heading> <lang>свн.</lang> (нар.) <em>в такой степени, таким образом</em>.",,,,
"alt","<heading><strong>alt</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>старый</em>; <lang>нн.</lang> <lex>alt</lex>; <lang>дс.</lang> <lex>ald</lex>, <lang>да.</lang> <lex>ēald</lex>, <lex>āld</lex>, <lang>ди.</lang> <lex>aldr</lex>, <lang>го.</lang> <lex>alþeis</lex>; ср. <lang>лат.</lang> <lex>altus</lex> <em>высокий</em>.",,"ēald, altus, ald, alt, alþeis, aldr, āld",,
"altar","<heading><strong>altar</strong></heading> <gender>срр</gender> (a) <em>время жизни, жизнь, возраст</em>; <lex>neo</lex> <lex>in</lex> <lex>altre</lex> <em>никогда</em>; <lang>нн.</lang> <lex>Alter</lex>; <lang>дс.</lang> <lex>aldar</lex>, <lang>да.</lang> <lex>ealdor</lex>.",,"ealdor, altre, aldar, Alter, neo, in",,
"altâri, alteri","<heading><strong>altâri</strong></heading>, <heading><strong>alteri</strong></heading> <gender>мр</gender> (ja) <em>алтарь, жертвенник</em>; заимств. VIII в. из <lang>лат.</lang> <lex>altare</lex>, <lex>altduam</lex>, <lex>alttuom</lex> <gender>мр</gender> <gender>срр</gender> (a) <em>старость</em>.",,"altare, alttuom, altduam",,
"altî","<heading><strong>altî</strong></heading> <gender>жр</gender> <em>возраст, старость, древность</em>.",,,,
"altworolt","<heading><strong>altworolt</strong></heading> <gender>жр</gender> (i) <em>древний мир, древнее время</em>.",,,,
"alumbe","<heading><strong>alumbe</strong></heading> <lang>свн.</lang> (предл. с вин. и нар.) <em>вокруг, кругом, везде</em>.",,,,
"alumbevâhen","<heading><strong>alumbevâhen</strong></heading> <lang>свн.</lang> (снгл. 7) <em>обнимать</em>.",,,,
"alwalto","<heading><strong>alwalto</strong></heading> <source>— Тат.—</source> <gender>мр</gender> (n) (субст. прил.) <em>державный</em> (перевод <lang>лат.</lang> <lex>Augustus</lex>).","Тат.","Augustus",,
"alwaltendi","<heading><strong>alwaltendi</strong></heading> (прил. прич.) <em>всемогущий</em>.",,,,
"alweg","<heading><strong>alweg</strong></heading> <lang>свн.</lang> (нар.) <em>всегда</em>.",,,,
"ambaht, ambeht, ambahti","<heading><strong>ambaht</strong></heading>, <heading><strong>ambeht</strong></heading>, <heading><strong>ambahti</strong></heading> <gender>мр</gender> <gender>срр</gender> (a и ja) <em>слуга, служба</em>, <lang>свн.</lang> <lex>ambet</lex>, <lex>ammet</lex>, <lex>amt</lex> также <em>долг</em>; <lang>нн.</lang> <lex>Amt</lex>; <lang>да.</lang> <lex>anbiht</lex>, <lex>ambiht</lex> <gender>срр</gender> <em>должность, служба</em>, <gender>мр</gender> <em>слуга</em>, <lang>ди.</lang> <lex>ambǫ´tt</lex> <gender>жр</gender> <em>служанка</em>, <lang>го.</lang> <lex>andbahts</lex> <gender>мр</gender> <em>слуга</em>, <lex>andbahti</lex> <gender>срр</gender> <em>служ­ба</em>; раннее заимств. из <lang>кельт.</lang>; ср. у Цезаря <lex>ambactus</lex> <em>гонец, слуга</em>.",,"ambiht, ammet, ambet, amt, ambactus, anbiht, ambǫ´tt, Amt, andbahti, andbahts",,
"amis","<heading><strong>amis</strong></heading> <lang>свн.</lang> <gender>мр</gender> <em>возлюбленный</em>, <gender>срр</gender> <em>возлюбленная</em> (<lang>франц.</lang>) <lex>amt</lex> <lang>рнвн.</lang>, <linked variants="ambaht an">см. ambaht an (гл.)</linked>, <linked>см. unnan</linked>.",,"amt","ambaht an, unnan","<heading><strong>unnan</strong></heading>, <heading><strong>giunnan</strong></heading> (прпргл.), <lang>свн.</lang> <lex>gunnen</lex> <em>не завидовать, позволять</em> (в <lang>двн.</lang> наст. изъяв. ед. <lex>an</lex>, мн. <lex>unnun</lex>, сосл. <lex>unni</lex>, прош. <lex>onda</lex>); <lang>нн.</lang> <lex>gönnen</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>unnan</lex>, <lang>ди.</lang> <lex>unna</lex>."
"ana, an","<heading><strong>ana</strong></heading>, <heading><strong>an</strong></heading>, <lang>свн.</lang> <lex>ane</lex>, <lex>an</lex> (нар.) <em>возле, около</em>; (предл. с дат. [твор.] вин.) <em>без, на, в, при, у</em> <lang>нн.</lang> <lex>an</lex>; <lang>дс.</lang> <lex>an</lex>, <lex>da</lex>, <lang>а.</lang> <lex>on</lex>, <lang>го.</lang> <lex>ana</lex>.",,"an, ane, da, ana, on",,
"anadâht","<heading><strong>anadâht</strong></heading> <gender>жр</gender> (i), <lang>свн.</lang> <lex>andâht</lex> <em>благоговение, молитва</em>; <lang>нн.</lang> <lex>Andacht</lex>, <lex>anafallan</lex> (снгл. 7) <em>напасть</em>; <lang>нн.</lang> <lex>anfallen</lex>, <linked>см. fallen</linked>.",,"anafallan, andâht, anfallen, Andacht","fallen","<heading><strong>fallan</strong></heading> (снгл. 7), <lang>свн.</lang> <lex>vallen</lex> <em>падать</em>; <lang>нн.</lang> <lex>fallen</lex>; <lang>дс.</lang> <lex>fallan</lex>, <lang>да.</lang> <lex>feallan</lex>, <lang>ди.</lang> <lex>falla</lex>."
"anafang","<heading><strong>anafang</strong></heading> <source>— Нотк.—</source> , <lang>свн.</lang> <lex>anevanc</lex> <gender>мр</gender> <em>начало</em>; <lang>нн.</lang> <lex>Anfang</lex>, <lex>anagin</lex>, <lang>свн.</lang> <lex>aneginne</lex> <gender>срр</gender> <em>начало</em>; <lang>дс.</lang> <lex>anagin</lex>, <lex>anginni</lex>.","Нотк.","anagin, aneginne, anginni, anevanc, Anfang",,
"analust","<heading><strong>analust</strong></heading> <gender>жр</gender> (i) <em>удовлетворение, симпатия</em>.",,,,
"anasidili","<heading><strong>anasidili</strong></heading> <gender>срр</gender> (ja), <lang>свн.</lang> <lex>ansidel</lex> <em>жилище</em>; ср. <lang>нн.</lang> <lex>Ansiedlung</lex> <em>поселение</em>.",,"Ansiedlung, ansidel",,
"anawâni","<heading><strong>anawâni</strong></heading> (прил.) <em>соответствующий ожидаемому</em>.",,,,
"anclîch","<heading><strong>anclîch</strong></heading> <lang>свн.</lang> (прил.) <em>возбуждающий страх</em>.",,,,
"andar","<heading><strong>andar</strong></heading>, <lang>свн.</lang> <lex>ander</lex> (прил.) <em>другой, второй</em>; <lang>нн.</lang> <lex>andere</lex>; <lang>дс.</lang> <lex>âðar</lex>, <lex>ôðar</lex>, <lang>да.</lang> <lex>ōðer</lex>, <lang>ди.</lang> <lex>annarr</lex>, <lang>го.</lang> <lex>anþar</lex>; ср. лит. <lex>ántras</lex>.",,"ántras, annarr, ôðar, ōðer, andere, ander, âðar, anþar",,
"andarwîs","<heading><strong>andarwîs</strong></heading> (нар.) <em>другим образом, иначе</em>; ср. <lang>нн.</lang> <lex>auf</lex> <lex>andere</lex> <lex>Weise</lex>, <lex>ande</lex> прош. от гл. <lex>enden</lex>, <linked>см. entôn</linked>.",,"enden, auf, Weise, andere, ande","entôn","<heading><strong>entôn</strong></heading>, <heading><strong>endôn</strong></heading>, <heading><strong>endiôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>enden</lex> <em>кончать, заканчивать(ся)</em>; <lang>нн.</lang> <lex>enden</lex>."
"anderswâ","<heading><strong>anderswâ</strong></heading> <lang>свн.</lang> (нар.) <em>(где-нибудь) в другом месте</em>; <lang>нн.</lang> <lex>anderswo</lex>.",,"anderswo",,
"anderunge","<heading><strong>anderunge</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>изменение</em>; <lang>нн.</lang> <lex>Än­derung</lex>.",,"Än­derung",,
"andreden, antdrâdan","<heading variants="andreden, antdrâdan"><strong>andreden = antdrâdan</strong></heading> <lang>дс.</lang> (снгл. 7) (прош. <lex>andrêd</lex>) <em>бояться, быть в страхе</em>; <lang>двн.</lang> <lex>intrâtan</lex>, <lang>да.</lang> <lex>ondrædan</lex>.",,"intrâtan, ondrædan, andrêd",,
"aneƀan","<heading><strong>aneƀan</strong></heading> <lang>дс.</lang> (предл.) <em>рядом</em>.",,,,
"anesehen","<heading><strong>anesehen</strong></heading> <lang>свн.</lang> (снгл. 5) <em>смотреть, глядеть</em>; <lang>нн.</lang> <lex>ansehen</lex>.",,"ansehen",,
"angegin","<heading><strong>angegin</strong></heading> <lang>дс.</lang> (предл.) <em>против, вопреки</em>; <lang>нн.</lang> <lex>entgegen</lex>.",,"entgegen",,
"angar","<heading><strong>angar</strong></heading> <gender>мр</gender>, <lang>свн.</lang> <lex>anger</lex> <em>луг, выгон</em>; <lang>нн.</lang> <lex>Anger</lex>; <lang>ди.</lang> <lex>eng</lex>.",,"eng, anger, Anger",,
"angestlîche","<heading><strong>angestlîche</strong></heading> <lang>свн.</lang> (нар.) <em>опасно, страшно</em>; <lang>нн.</lang> <lex>ängstlich</lex>.",,"ängstlich",,
"angewinnen","<heading><strong>angewinnen</strong></heading> <source>— Хрон.—</source> <em>выигрывать</em>; ср. <lang>нн.</lang> <lex>gewinnen</lex>.","Хрон.","gewinnen",,
"angil","<heading><strong>angil</strong></heading> <gender>мр</gender>, <linked>см. engil</linked>.",,,"engil","<heading><strong>engil</strong></heading>, <heading><strong>engel</strong></heading>, <heading><strong>angil</strong></heading> <gender>мр</gender> <em>ангел</em>; <lang>нн.</lang> <lex>Engel</lex>; из <lang>лат.</lang> <lex>angelus</lex>."
"angust","<heading><strong>angust</strong></heading> <gender>жр</gender> (i), <lang>свн.</lang> <lex>angest</lex> <em>страх, ужас</em>; <lang>нн.</lang> <lex>Angst</lex>. По-видимому, заимствование из <lang>лат.</lang> <lex>angustia</lex> <em>узость, теснота</em>.",,"angest, Angst, angustia",,
"ango","<heading><strong>ango</strong></heading>, <lang>свн.</lang> <lex>ange</lex> (нар.) к прил. <lex>engi</lex>.",,"ange, engi",,
"anlegen","<heading><strong>anlegen</strong></heading> <source>— Берт.—</source> (слгл.) <em>надевать</em>; <lang>нн.</lang> <lex>anlegen</lex>.","Берт.","anlegen",,
"anmechtig","<heading><strong>anmechtig</strong></heading> <lang>рнвн.</lang> (прил.) <em>бессильный, ничтожный</em>; <lang>нн.</lang> <lex>ohnmächtig</lex>.",,"ohnmächtig",,
"âno","<heading><strong>âno</strong></heading>, <lang>свн.</lang> <lex>ane</lex> (предл.) <em>без, кроме</em>; <lang>нн.</lang> <lex>ohne</lex>; <lang>дс.</lang> <lex>âno</lex>, <lang>ди.</lang> <lex>an</lex>, <lang>го.</lang> <lex variants="inuh, inu">inu(h)</lex>.",,"an, ane, inu, inuh, âno, ohne",,
"ansagen","<heading><strong>ansagen</strong></heading> рнан. <em>присуждать, утешать</em>.",,,,
"antfâhan, anfâhan","<heading><strong>antfâhan</strong></heading>, <heading><strong>anfâhan</strong></heading> (снгл. 7) <em>принимать, воспринимать</em>; <lang>нн.</lang> <lex>empfangen</lex>; <linked>см. intfâhan</linked>.",,"empfangen","intfâhan","<heading><strong>intfâhan</strong></heading>, <heading><strong>entfâhan</strong></heading>, <heading><strong>imphâhan</strong></heading> (снгл. 7). <lang>свн.</lang> <lex>entvâhen</lex>, <lex>enpfâhen</lex>, <lex>empfân</lex> <em>(вос)~ принимать, зачать</em>; <lang>нн.</lang> <lex>empfangen</lex>; <linked>см. fâhan</linked>."
"antfangi","<heading><strong>antfangi</strong></heading> <gender>срр</gender> (ja), <lex>antfang</lex> <gender>мр</gender> (a) <em>восприя­тие, восприимчивость</em>; <lang>нн.</lang> <lex>Empfang</lex> <em>прием</em>.",,"Empfang, antfang",,
"anti, enti, endi, indi, inti, int, in, unti, unta, im","<heading><strong>anti</strong></heading>, <heading><strong>enti</strong></heading>, <heading><strong>endi</strong></heading>, <heading><strong>indi</strong></heading>, <heading><strong>inti</strong></heading>, <heading><strong>int</strong></heading>, <heading><strong>in</strong></heading>, <heading><strong>unti</strong></heading>, <heading><strong>unta</strong></heading>, <heading><strong>im</strong></heading>, <lang>свн.</lang> <lex variants="unde, und">und(e)</lex> (сз.) <em>и</em>; <lang>нн.</lang> <lex>und</lex>; <lang>дс.</lang> <lex>endi</lex>, <lang>да.</lang> а, <lex>and</lex>.",,"endi, und, unde, and",,
"antlingôn","<heading><strong>antlingôn</strong></heading> <source>— Тат.—</source> (слгл. 2) <em>отвечать</em>.","Тат.",,,
"antluzzi, annuzi","<heading><strong>antluzzi</strong></heading>, <heading><strong>annuzi</strong></heading> <gender>срр</gender> (ja) <lang>свн.</lang> <lex>antlitze</lex> <em>лицо, лик</em>; <lang>нн.</lang> <lex>Antlitz</lex>; <lang>да.</lang> <lex>andwlita</lex> <gender>мр</gender>, <lang>ди.</lang> <lex>andlit</lex> <gender>срр</gender>; ср. также <lang>го.</lang> <lex>ludja</lex> <gender>жр</gender> <em>лицо</em>.",,"Antlitz, andwlita, antlitze, andlit, ludja",,
"antreidin","<heading><strong>antreidin</strong></heading> <gender>жр</gender> <em>порядок следования, последовательность</em>.",,,,
"antreita","<heading><strong>antreita</strong></heading> <gender>жр</gender> (ô) <em>порядок, правило</em>.",,,,
"antwirkian","<heading><strong>antwirkian</strong></heading> <lang>дс.</lang> (слгл. 1) <em>убивать</em>.",,,,
"antwurten","<heading><strong>antwurten</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>antworten</lex> <em>отвечать</em>; <lang>нн.</lang> <lex>antworten</lex>.",,"antworten",,
"antwurti","<heading><strong>antwurti</strong></heading> <gender>срр</gender> (ja), <lang>свн.</lang> <lex variants="antwürte, antwürt">antwürt(e)</lex> <em>ответ, прорицание</em>; <lang>нн.</lang> <lex>Antwort</lex>; <lang>дс.</lang> <lex>andwurdi</lex>, <lang>да.</lang> <lex>andwyrde</lex>, <lang>го.</lang> <lex>andawaúrdi</lex>.",,"andawaúrdi, antwürt, Antwort, andwurdi, antwürte, andwyrde",,
"aodlihho","<heading><strong>aodlihho</strong></heading> <source>— Хильт.—</source> <lex>ôdlîhho</lex> (нар.) <em>легко, нетрудно</em>; <lang>да.</lang> <lex>īeðelīce</lex>.","Хильт.","ôdlîhho, īeðelīce",,
"ar-, ir-","<heading><strong>ar-</strong></heading>, <heading><strong>ir-</strong></heading> преф., <lang>свн.</lang> <lex>er-</lex>, <lang>нн.</lang> <lex>er-</lex>, <linked>см. ur-</linked>.",,"er-","ur-","<heading><strong>ur-</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (преф.) под ударением; безударная форма <lang>двн.</lang> <lex>ir-</lex>, <lex>ar-</lex>, <lang>свн.</lang> <lex>er-</lex>; <lang>нн.</lang> <lex>ur-</lex>."
"ar","<heading><strong>ar</strong></heading> <source>— Мусп.—</source>(предл.), <linked>см. ur</linked>.","Мусп.",,"ur","<heading><strong>ur</strong></heading>, <heading><strong>ar</strong></heading>, <heading><strong>er</strong></heading>, <heading><strong>ir</strong></heading> (предл.) <em>от, из</em>, <lang>го.</lang> <lex>us</lex>."
"arm, aram","<heading variants="arm, aram"><strong>ar(a)m</strong></heading>, <lang>свн.</lang> <lex>arm</lex> (прил.) <em>бедный</em>; <lang>нн.</lang> <lex>arm</lex>; <lang>дс.</lang> <lex>arm</lex>, <lang>да.</lang> <lex>earm</lex>, <lang>ди.</lang> <lex>armr</lex>, <lang>го.</lang> <lex>arms</lex>.",,"armr, earm, arms, arm",,
